Season,Unnamed: 0,Date,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen,hwins
1996,0,1996-04-06,San Jose Earthquakes,DC United,1-0,1,0,West,East,1,regular,,,,,,h
1996,1,1996-04-13,LA Galaxy,New York Red Bulls,2-1,2,1,West,East,3,regular,,,,,,h
1996,2,1996-04-13,Tampa Bay Mutiny,New England Revolution,3-2,3,2,East,East,5,regular,,,,,,h
1996,3,1996-04-13,Columbus Crew,DC United,4-0,4,0,East,East,4,regular,,,,,,h
1996,4,1996-04-13,Sporting Kansas City,Colorado Rapids,3-0,3,0,West,West,3,regular,,,,,,h
1996,5,1996-04-14,FC Dallas,San Jose Earthquakes,1-0,1,0,West,West,1,regular,,,,,,h
1996,6,1996-04-18,FC Dallas,Sporting Kansas City,3-0,3,0,West,West,3,regular,,,,,,h
1996,7,1996-04-20,DC United,LA Galaxy,1-2,1,2,East,West,3,regular,,,,,,a
1996,8,1996-04-20,Columbus Crew,Tampa Bay Mutiny,1-2,1,2,East,East,3,regular,,,,,,a
1996,9,1996-04-20,New York Red Bulls,New England Revolution,0-1,0,1,East,East,1,regular,,,,,,a
1996,10,1996-04-21,Colorado Rapids,FC Dallas,3-1,3,1,West,West,4,regular,,,,,,h
1996,11,1996-04-21,San Jose Earthquakes,Sporting Kansas City,2-3,2,3,West,West,5,regular,,,,,,a
1996,12,1996-04-27,New York Red Bulls,Columbus Crew,0-2,0,2,East,East,2,regular,,,,,,a
1996,13,1996-04-27,New England Revolution,DC United,2-1,2,1,East,East,3,regular,,,,,,h
1996,14,1996-04-28,Tampa Bay Mutiny,FC Dallas,1-2,1,2,East,West,3,regular,,,,,,a
1996,15,1996-04-28,LA Galaxy,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,,h
1996,16,1996-05-01,DC United,FC Dallas,3-1,3,1,East,West,4,regular,,,,,,h
1996,17,1996-05-02,Sporting Kansas City,Columbus Crew,6-4,6,4,West,East,10,regular,,,,,,h
1996,18,1996-05-04,New York Red Bulls,Tampa Bay Mutiny,4-3,4,3,East,East,7,regular,,,,,,h
1996,19,1996-05-04,New England Revolution,San Jose Earthquakes,1-2,1,2,East,West,3,regular,,,,,,a
1996,20,1996-05-05,FC Dallas,Columbus Crew,1-0,1,0,West,East,1,regular,,,,,,h
1996,21,1996-05-05,Colorado Rapids,Sporting Kansas City,4-0,4,0,West,West,4,regular,,,,,,h
1996,22,1996-05-05,LA Galaxy,DC United,3-1,3,1,West,East,4,regular,,,,,,h
1996,23,1996-05-08,San Jose Earthquakes,Colorado Rapids,3-1,3,1,West,West,4,regular,,,,,,h
1996,24,1996-05-08,Tampa Bay Mutiny,Sporting Kansas City,2-0,2,0,East,West,2,regular,,,,,,h
1996,25,1996-05-11,Colorado Rapids,Tampa Bay Mutiny,1-2,1,2,West,East,3,regular,,,,,,a
1996,26,1996-05-11,Columbus Crew,New England Revolution,3-2,3,2,East,East,5,regular,,,,,,h
1996,27,1996-05-11,Sporting Kansas City,FC Dallas,2-3,2,3,West,West,5,regular,,,,,,a
1996,28,1996-05-12,DC United,New York Red Bulls,1-2,1,2,East,East,3,regular,,,,,,a
1996,29,1996-05-12,San Jose Earthquakes,LA Galaxy,1-2,1,2,West,West,3,regular,,,,,,a
1996,30,1996-05-15,DC United,Columbus Crew,5-2,5,2,East,East,7,regular,,,,,,h
1996,31,1996-05-16,New York Red Bulls,Colorado Rapids,3-0,3,0,East,West,3,regular,,,,,,h
1996,32,1996-05-18,Tampa Bay Mutiny,San Jose Earthquakes,3-2,3,2,East,West,5,regular,,,,,,h
1996,33,1996-05-18,FC Dallas,DC United,3-2,3,2,West,East,5,regular,,,,,,h
1996,34,1996-05-19,New England Revolution,New York Red Bulls,2-0,2,0,East,East,2,regular,,,,,,h
1996,35,1996-05-19,Columbus Crew,Colorado Rapids,2-4,2,4,East,West,6,regular,,,,,,a
1996,36,1996-05-19,LA Galaxy,Sporting Kansas City,2-0,2,0,West,West,2,regular,,,,,,h
1996,37,1996-05-22,Sporting Kansas City,New York Red Bulls,2-1,2,1,West,East,3,regular,,,,,,h
1996,38,1996-05-23,FC Dallas,Tampa Bay Mutiny,0-1,0,1,West,East,1,regular,,,,,,a
1996,39,1996-05-25,New England Revolution,Colorado Rapids,3-2,3,2,East,West,5,regular,,,,,,h
1996,40,1996-05-26,LA Galaxy,Columbus Crew,3-2,3,2,West,East,5,regular,,,,,,h
1996,41,1996-05-29,San Jose Earthquakes,Sporting Kansas City,2-1,2,1,West,West,3,regular,,,,,,h
1996,42,1996-05-29,Colorado Rapids,FC Dallas,2-0,2,0,West,West,2,regular,,,,,,h
1996,43,1996-05-30,New York Red Bulls,DC United,1-2,1,2,East,East,3,regular,,,,,,a
1996,44,1996-06-01,San Jose Earthquakes,Columbus Crew,3-2,3,2,West,East,5,regular,,,,,,h
1996,45,1996-06-01,Tampa Bay Mutiny,LA Galaxy,1-2,1,2,East,West,3,regular,,,,,,a
1996,46,1996-06-01,Sporting Kansas City,New England Revolution,2-1,2,1,West,East,3,regular,,,,,,h
1996,47,1996-06-02,FC Dallas,New York Red Bulls,0-1,0,1,West,East,1,regular,,,,,,a
1996,48,1996-06-02,Colorado Rapids,DC United,2-3,2,3,West,East,5,regular,,,,,,a
1996,49,1996-06-05,DC United,San Jose Earthquakes,3-1,3,1,East,West,4,regular,,,,,,h
1996,50,1996-06-05,Sporting Kansas City,Tampa Bay Mutiny,1-3,1,3,West,East,4,regular,,,,,,a
1996,51,1996-06-06,New England Revolution,LA Galaxy,2-3,2,3,East,West,5,regular,,,,,,a
1996,52,1996-06-08,Columbus Crew,Sporting Kansas City,3-4,3,4,East,West,7,regular,,,,,,a
1996,53,1996-06-08,FC Dallas,San Jose Earthquakes,4-1,4,1,West,West,5,regular,,,,,,h
1996,54,1996-06-08,Tampa Bay Mutiny,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,,h
1996,55,1996-06-09,New York Red Bulls,LA Galaxy,0-4,0,4,East,West,4,regular,,,,,,a
1996,56,1996-06-15,New England Revolution,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,,h
1996,57,1996-06-15,FC Dallas,Colorado Rapids,2-1,2,1,West,West,3,regular,,,,,,h
1996,58,1996-06-16,New York Red Bulls,San Jose Earthquakes,0-1,0,1,East,West,1,regular,,,,,,a
1996,59,1996-06-16,LA Galaxy,Tampa Bay Mutiny,3-2,3,2,West,East,5,regular,,,,,,h
1996,60,1996-06-19,New York Red Bulls,FC Dallas,1-0,1,0,East,West,1,regular,,,,,,h
1996,61,1996-06-19,Columbus Crew,Colorado Rapids,2-3,2,3,East,West,5,regular,,,,,,a
1996,62,1996-06-20,Sporting Kansas City,DC United,5-1,5,1,West,East,6,regular,,,,,,h
1996,63,1996-06-22,Tampa Bay Mutiny,Columbus Crew,3-4,3,4,East,East,7,regular,,,,,,a
1996,64,1996-06-23,New England Revolution,FC Dallas,1-4,1,4,East,West,5,regular,,,,,,a
1996,65,1996-06-23,San Jose Earthquakes,DC United,2-1,2,1,West,East,3,regular,,,,,,h
1996,66,1996-06-26,LA Galaxy,Colorado Rapids,3-1,3,1,West,West,4,regular,,,,,,h
1996,67,1996-06-26,New York Red Bulls,Sporting Kansas City,2-0,2,0,East,West,2,regular,,,,,,h
1996,68,1996-06-27,New England Revolution,Columbus Crew,1-2,1,2,East,East,3,regular,,,,,,a
1996,69,1996-06-29,FC Dallas,Sporting Kansas City,0-1,0,1,West,West,1,regular,,,,,,a
1996,70,1996-06-30,Columbus Crew,New York Red Bulls,0-4,0,4,East,East,4,regular,,,,,,a
1996,71,1996-06-30,DC United,New England Revolution,3-1,3,1,East,East,4,regular,,,,,,h
1996,72,1996-06-30,Colorado Rapids,LA Galaxy,2-1,2,1,West,West,3,regular,,,,,,h
1996,73,1996-06-30,San Jose Earthquakes,Tampa Bay Mutiny,4-0,4,0,West,East,4,regular,,,,,,h
1996,74,1996-07-04,LA Galaxy,New England Revolution,0-1,0,1,West,East,1,regular,,,,,,a
1996,75,1996-07-04,Tampa Bay Mutiny,Columbus Crew,4-1,4,1,East,East,5,regular,,,,,,h
1996,76,1996-07-04,FC Dallas,DC United,2-1,2,1,West,East,3,regular,,,,,,h
1996,77,1996-07-04,Colorado Rapids,New York Red Bulls,3-1,3,1,West,East,4,regular,,,,,,h
1996,78,1996-07-06,San Jose Earthquakes,New England Revolution,1-2,1,2,West,East,3,regular,,,,,,a
1996,79,1996-07-06,Sporting Kansas City,LA Galaxy,3-1,3,1,West,West,4,regular,,,,,,h
1996,80,1996-07-07,Colorado Rapids,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,,h
1996,81,1996-07-07,DC United,FC Dallas,6-1,6,1,East,West,7,regular,,,,,,h
1996,82,1996-07-10,New York Red Bulls,FC Dallas,3-2,3,2,East,West,5,regular,,,,,,h
1996,83,1996-07-10,Sporting Kansas City,Colorado Rapids,2-0,2,0,West,West,2,regular,,,,,,h
1996,84,1996-07-11,Columbus Crew,New England Revolution,1-2,1,2,East,East,3,regular,,,,,,a
1996,85,1996-07-12,DC United,Tampa Bay Mutiny,1-0,1,0,East,East,1,regular,,,,,,h
1996,86,1996-07-17,FC Dallas,LA Galaxy,5-2,5,2,West,West,7,regular,,,,,,h
1996,87,1996-07-17,Colorado Rapids,San Jose Earthquakes,1-2,1,2,West,West,3,regular,,,,,,a
1996,88,1996-07-18,Tampa Bay Mutiny,Sporting Kansas City,3-2,3,2,East,West,5,regular,,,,,,h
1996,89,1996-07-20,New England Revolution,DC United,2-0,2,0,East,East,2,regular,,,,,,h
1996,90,1996-07-20,Columbus Crew,San Jose Earthquakes,3-4,3,4,East,West,7,regular,,,,,,a
1996,91,1996-07-20,Sporting Kansas City,FC Dallas,1-2,1,2,West,West,3,regular,,,,,,a
1996,92,1996-07-21,Colorado Rapids,Tampa Bay Mutiny,1-3,1,3,West,East,4,regular,,,,,,a
1996,93,1996-07-21,LA Galaxy,New York Red Bulls,3-0,3,0,West,East,3,regular,,,,,,h
1996,94,1996-07-24,Colorado Rapids,New England Revolution,2-0,2,0,West,East,2,regular,,,,,,h
1996,95,1996-07-24,San Jose Earthquakes,New York Red Bulls,0-1,0,1,West,East,1,regular,,,,,,a
1996,96,1996-07-25,Columbus Crew,Tampa Bay Mutiny,1-0,1,0,East,East,1,regular,,,,,,h
1996,97,1996-07-27,Tampa Bay Mutiny,LA Galaxy,4-3,4,3,East,West,7,regular,,,,,,h
1996,98,1996-07-27,FC Dallas,Colorado Rapids,3-0,3,0,West,West,3,regular,,,,,,h
1996,99,1996-07-27,Sporting Kansas City,New England Revolution,4-2,4,2,West,East,6,regular,,,,,,h
1996,100,1996-07-28,New York Red Bulls,San Jose Earthquakes,4-1,4,1,East,West,5,regular,,,,,,h
1996,101,1996-07-28,DC United,Columbus Crew,2-0,2,0,East,East,2,regular,,,,,,h
1996,102,1996-07-31,Columbus Crew,FC Dallas,1-2,1,2,East,West,3,regular,,,,,,a
1996,103,1996-07-31,DC United,Sporting Kansas City,2-3,2,3,East,West,5,regular,,,,,,a
1996,104,1996-07-31,New England Revolution,San Jose Earthquakes,2-0,2,0,East,West,2,regular,,,,,,h
1996,105,1996-08-01,Colorado Rapids,LA Galaxy,2-3,2,3,West,West,5,regular,,,,,,a
1996,106,1996-08-03,New England Revolution,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,,h
1996,107,1996-08-03,Tampa Bay Mutiny,Colorado Rapids,3-1,3,1,East,West,4,regular,,,,,,h
1996,108,1996-08-04,DC United,Sporting Kansas City,2-4,2,4,East,West,6,regular,,,,,,a
1996,109,1996-08-04,LA Galaxy,Columbus Crew,1-2,1,2,West,East,3,regular,,,,,,a
1996,110,1996-08-07,Tampa Bay Mutiny,DC United,1-3,1,3,East,East,4,regular,,,,,,a
1996,111,1996-08-07,Colorado Rapids,Sporting Kansas City,4-2,4,2,West,West,6,regular,,,,,,h
1996,112,1996-08-08,LA Galaxy,New England Revolution,1-0,1,0,West,East,1,regular,,,,,,h
1996,113,1996-08-10,Columbus Crew,DC United,3-2,3,2,East,East,5,regular,,,,,,h
1996,114,1996-08-10,FC Dallas,Tampa Bay Mutiny,2-1,2,1,West,East,3,regular,,,,,,h
1996,115,1996-08-11,Sporting Kansas City,LA Galaxy,3-2,3,2,West,West,5,regular,,,,,,h
1996,116,1996-08-11,Colorado Rapids,New York Red Bulls,0-2,0,2,West,East,2,regular,,,,,,a
1996,117,1996-08-11,San Jose Earthquakes,New England Revolution,6-1,6,1,West,East,7,regular,,,,,,h
1996,118,1996-08-14,New York Red Bulls,New England Revolution,4-0,4,0,East,East,4,regular,,,,,,h
1996,119,1996-08-14,FC Dallas,Columbus Crew,2-3,2,3,West,East,5,regular,,,,,,a
1996,120,1996-08-15,Sporting Kansas City,San Jose Earthquakes,4-1,4,1,West,West,5,regular,,,,,,h
1996,121,1996-08-16,New England Revolution,Colorado Rapids,2-0,2,0,East,West,2,regular,,,,,,h
1996,122,1996-08-17,Tampa Bay Mutiny,New York Red Bulls,3-1,3,1,East,East,4,regular,,,,,,h
1996,123,1996-08-18,Columbus Crew,San Jose Earthquakes,2-0,2,0,East,West,2,regular,,,,,,h
1996,124,1996-08-18,DC United,LA Galaxy,2-1,2,1,East,West,3,regular,,,,,,h
1996,125,1996-08-21,LA Galaxy,Sporting Kansas City,1-2,1,2,West,West,3,regular,,,,,,a
1996,126,1996-08-21,New York Red Bulls,DC United,2-3,2,3,East,East,5,regular,,,,,,a
1996,127,1996-08-21,New England Revolution,Tampa Bay Mutiny,4-2,4,2,East,East,6,regular,,,,,,h
1996,128,1996-08-22,San Jose Earthquakes,FC Dallas,1-0,1,0,West,West,1,regular,,,,,,h
1996,129,1996-08-24,Columbus Crew,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,,h
1996,130,1996-08-25,DC United,Tampa Bay Mutiny,3-0,3,0,East,East,3,regular,,,,,,h
1996,131,1996-08-25,San Jose Earthquakes,Colorado Rapids,1-0,1,0,West,West,1,regular,,,,,,h
1996,132,1996-08-25,LA Galaxy,FC Dallas,2-3,2,3,West,West,5,regular,,,,,,a
1996,133,1996-08-28,Columbus Crew,LA Galaxy,2-0,2,0,East,West,2,regular,,,,,,h
1996,134,1996-08-29,Colorado Rapids,DC United,1-2,1,2,West,East,3,regular,,,,,,a
1996,135,1996-08-31,Tampa Bay Mutiny,New England Revolution,3-1,3,1,East,East,4,regular,,,,,,h
1996,136,1996-09-01,Sporting Kansas City,New York Red Bulls,3-2,3,2,West,East,5,regular,,,,,,h
1996,137,1996-09-01,San Jose Earthquakes,LA Galaxy,1-2,1,2,West,West,3,regular,,,,,,a
1996,138,1996-09-04,New York Red Bulls,Tampa Bay Mutiny,0-2,0,2,East,East,2,regular,,,,,,a
1996,139,1996-09-04,New England Revolution,FC Dallas,2-1,2,1,East,West,3,regular,,,,,,h
1996,140,1996-09-05,LA Galaxy,Colorado Rapids,0-1,0,1,West,West,1,regular,,,,,,a
1996,141,1996-09-06,DC United,New York Red Bulls,1-2,1,2,East,East,3,regular,,,,,,a
1996,142,1996-09-07,Sporting Kansas City,Columbus Crew,1-5,1,5,West,East,6,regular,,,,,,a
1996,143,1996-09-07,FC Dallas,New England Revolution,0-2,0,2,West,East,2,regular,,,,,,a
1996,144,1996-09-08,Colorado Rapids,San Jose Earthquakes,1-3,1,3,West,West,4,regular,,,,,,a
1996,145,1996-09-10,New York Red Bulls,LA Galaxy,3-1,3,1,East,West,4,regular,,,,,,h
1996,146,1996-09-11,San Jose Earthquakes,FC Dallas,2-3,2,3,West,West,5,regular,,,,,,a
1996,147,1996-09-12,New England Revolution,Tampa Bay Mutiny,1-2,1,2,East,East,3,regular,,,,,,a
1996,148,1996-09-14,Tampa Bay Mutiny,DC United,2-0,2,0,East,East,2,regular,,,,,,h
1996,149,1996-09-15,Columbus Crew,New York Red Bulls,2-0,2,0,East,East,2,regular,,,,,,h
1996,150,1996-09-15,LA Galaxy,San Jose Earthquakes,4-2,4,2,West,West,6,regular,,,,,,h
1996,151,1996-09-17,DC United,New England Revolution,3-2,3,2,East,East,5,regular,,,,,,h
1996,152,1996-09-18,San Jose Earthquakes,Tampa Bay Mutiny,1-2,1,2,West,East,3,regular,,,,,,a
1996,153,1996-09-18,New York Red Bulls,Columbus Crew,1-0,1,0,East,East,1,regular,,,,,,h
1996,154,1996-09-19,FC Dallas,LA Galaxy,1-2,1,2,West,West,3,regular,,,,,,a
1996,155,1996-09-21,New England Revolution,Columbus Crew,0-1,0,1,East,East,1,regular,,,,,,a
1996,156,1996-09-21,DC United,Colorado Rapids,3-1,3,1,East,West,4,regular,,,,,,h
1996,157,1996-09-21,Tampa Bay Mutiny,New York Red Bulls,4-1,4,1,East,East,5,regular,,,,,,h
1996,158,1996-09-21,Sporting Kansas City,San Jose Earthquakes,0-1,0,1,West,West,1,regular,,,,,,a
1996,159,1996-09-22,LA Galaxy,FC Dallas,2-1,2,1,West,West,3,regular,,,,,,h
1996,160,1996-09-24,New York Red Bulls,DC United,2-2,2,2,East,East,4,conf_semi,1.0,2.0,2.0,6.0,5.0,h
1996,161,1996-09-25,Columbus Crew,Tampa Bay Mutiny,0-2,0,2,East,East,2,conf_semi,1.0,,,,,a
1996,162,1996-09-26,Sporting Kansas City,FC Dallas,3-2,3,2,West,West,5,conf_semi,1.0,,,,,h
1996,163,1996-09-26,San Jose Earthquakes,LA Galaxy,1-0,1,0,West,West,1,conf_semi,1.0,,,,,h
1996,164,1996-09-27,DC United,New York Red Bulls,1-0,1,0,East,East,1,conf_semi,2.0,,,,,h
1996,165,1996-09-28,Tampa Bay Mutiny,Columbus Crew,1-2,1,2,East,East,3,conf_semi,2.0,,,,,a
1996,166,1996-09-29,FC Dallas,Sporting Kansas City,2-1,2,1,West,West,3,conf_semi,2.0,,,,,h
1996,167,1996-09-29,LA Galaxy,San Jose Earthquakes,2-0,2,0,West,West,2,conf_semi,2.0,,,,,h
1996,168,1996-10-02,FC Dallas,Sporting Kansas City,2-3,2,3,West,West,5,conf_semi,3.0,2.0,3.0,2.0,3.0,a
1996,169,1996-10-02,LA Galaxy,San Jose Earthquakes,2-0,2,0,West,West,2,conf_semi,3.0,,,,,h
1996,170,1996-10-02,Tampa Bay Mutiny,Columbus Crew,4-1,4,1,East,East,5,conf_semi,3.0,,,,,h
1996,171,1996-10-02,DC United,New York Red Bulls,2-1,2,1,East,East,3,conf_semi,3.0,,,,,h
1996,172,1996-10-10,DC United,Tampa Bay Mutiny,4-1,4,1,East,East,1,conf_final,1.0,,,,,h
1996,173,1996-10-10,LA Galaxy,Sporting Kansas City,2-1,2,1,West,West,3,conf_final,1.0,,,,,h
1996,174,1996-10-12,Tampa Bay Mutiny,DC United,1-2,1,2,East,East,2,conf_final,2.0,,,,,a
1996,175,1996-10-13,Sporting Kansas City,LA Galaxy,1-2,1,2,West,West,3,conf_final,2.0,1.0,2.0,1.0,3.0,a
1996,176,1996-10-20,DC United,LA Galaxy,2-2,2,2,East,West,4,mls_final,,3.0,2.0,,,h
1997,177,1997-03-22,San Jose Earthquakes,New York Red Bulls,1-0,1,0,West,East,1,regular,,,,,,h
1997,178,1997-03-29,LA Galaxy,DC United,0-1,0,1,West,East,1,regular,,,,,,a
1997,179,1997-03-29,Columbus Crew,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,,h
1997,180,1997-03-29,Sporting Kansas City,San Jose Earthquakes,3-2,3,2,West,West,5,regular,,,,,,h
1997,181,1997-03-29,FC Dallas,New England Revolution,0-1,0,1,West,East,1,regular,,,,,,a
1997,182,1997-03-29,Tampa Bay Mutiny,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,,h
1997,183,1997-04-05,DC United,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,,h
1997,184,1997-04-05,Sporting Kansas City,LA Galaxy,3-2,3,2,West,West,5,regular,,,,,,h
1997,185,1997-04-05,FC Dallas,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,,h
1997,186,1997-04-06,Colorado Rapids,Columbus Crew,2-0,2,0,West,East,2,regular,,,,,,h
1997,187,1997-04-06,Tampa Bay Mutiny,New England Revolution,4-0,4,0,East,East,4,regular,,,,,,h
1997,188,1997-04-12,Tampa Bay Mutiny,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,,h
1997,189,1997-04-12,New York Red Bulls,New England Revolution,3-1,3,1,East,East,4,regular,,,,,,h
1997,190,1997-04-12,Colorado Rapids,DC United,2-5,2,5,West,East,7,regular,,,,,,a
1997,191,1997-04-12,San Jose Earthquakes,LA Galaxy,4-1,4,1,West,West,5,regular,,,,,,h
1997,192,1997-04-13,Columbus Crew,FC Dallas,2-1,2,1,East,West,3,regular,,,,,,h
1997,193,1997-04-18,LA Galaxy,Colorado Rapids,2-1,2,1,West,West,3,regular,,,,,,h
1997,194,1997-04-18,Sporting Kansas City,FC Dallas,2-1,2,1,West,West,3,regular,,,,,,h
1997,195,1997-04-19,New York Red Bulls,DC United,1-2,1,2,East,East,3,regular,,,,,,a
1997,196,1997-04-19,Columbus Crew,San Jose Earthquakes,2-1,2,1,East,West,3,regular,,,,,,h
1997,197,1997-04-20,FC Dallas,Colorado Rapids,4-1,4,1,West,West,5,regular,,,,,,h
1997,198,1997-04-20,New England Revolution,Tampa Bay Mutiny,2-1,2,1,East,East,3,regular,,,,,,h
1997,199,1997-04-23,Colorado Rapids,FC Dallas,1-0,1,0,West,West,1,regular,,,,,,h
1997,200,1997-04-26,LA Galaxy,FC Dallas,1-2,1,2,West,West,3,regular,,,,,,a
1997,201,1997-04-26,New York Red Bulls,Columbus Crew,2-1,2,1,East,East,3,regular,,,,,,h
1997,202,1997-04-26,New England Revolution,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,,h
1997,203,1997-04-26,DC United,San Jose Earthquakes,2-3,2,3,East,West,5,regular,,,,,,a
1997,204,1997-04-27,Sporting Kansas City,Tampa Bay Mutiny,2-3,2,3,West,East,5,regular,,,,,,a
1997,205,1997-05-02,DC United,LA Galaxy,2-0,2,0,East,West,2,regular,,,,,,h
1997,206,1997-05-03,New England Revolution,Sporting Kansas City,2-1,2,1,East,West,3,regular,,,,,,h
1997,207,1997-05-03,San Jose Earthquakes,Columbus Crew,1-3,1,3,West,East,4,regular,,,,,,a
1997,208,1997-05-03,Colorado Rapids,Tampa Bay Mutiny,2-0,2,0,West,East,2,regular,,,,,,h
1997,209,1997-05-04,New York Red Bulls,LA Galaxy,1-0,1,0,East,West,1,regular,,,,,,h
1997,210,1997-05-04,FC Dallas,DC United,3-2,3,2,West,East,5,regular,,,,,,h
1997,211,1997-05-09,New England Revolution,Columbus Crew,0-2,0,2,East,East,2,regular,,,,,,a
1997,212,1997-05-09,New York Red Bulls,San Jose Earthquakes,0-1,0,1,East,West,1,regular,,,,,,a
1997,213,1997-05-10,DC United,FC Dallas,2-3,2,3,East,West,5,regular,,,,,,a
1997,214,1997-05-10,Tampa Bay Mutiny,Colorado Rapids,2-1,2,1,East,West,3,regular,,,,,,h
1997,215,1997-05-10,Sporting Kansas City,LA Galaxy,1-0,1,0,West,West,1,regular,,,,,,h
1997,216,1997-05-11,Columbus Crew,New York Red Bulls,3-0,3,0,East,East,3,regular,,,,,,h
1997,217,1997-05-16,San Jose Earthquakes,New England Revolution,1-2,1,2,West,East,3,regular,,,,,,a
1997,218,1997-05-17,FC Dallas,Tampa Bay Mutiny,2-0,2,0,West,East,2,regular,,,,,,h
1997,219,1997-05-17,Colorado Rapids,Columbus Crew,2-1,2,1,West,East,3,regular,,,,,,h
1997,220,1997-05-18,New England Revolution,DC United,0-1,0,1,East,East,1,regular,,,,,,a
1997,221,1997-05-18,New York Red Bulls,Sporting Kansas City,1-0,1,0,East,West,1,regular,,,,,,h
1997,222,1997-05-18,LA Galaxy,San Jose Earthquakes,2-1,2,1,West,West,3,regular,,,,,,h
1997,223,1997-05-22,DC United,San Jose Earthquakes,3-1,3,1,East,West,4,regular,,,,,,h
1997,224,1997-05-22,Sporting Kansas City,Columbus Crew,3-1,3,1,West,East,4,regular,,,,,,h
1997,225,1997-05-23,Tampa Bay Mutiny,FC Dallas,1-3,1,3,East,West,4,regular,,,,,,a
1997,226,1997-05-24,Colorado Rapids,New England Revolution,1-2,1,2,West,East,3,regular,,,,,,a
1997,227,1997-05-25,LA Galaxy,Columbus Crew,1-0,1,0,West,East,1,regular,,,,,,h
1997,228,1997-05-25,New York Red Bulls,Tampa Bay Mutiny,3-2,3,2,East,East,5,regular,,,,,,h
1997,229,1997-05-29,Columbus Crew,DC United,2-3,2,3,East,East,5,regular,,,,,,a
1997,230,1997-05-30,New England Revolution,New York Red Bulls,3-1,3,1,East,East,4,regular,,,,,,h
1997,231,1997-05-30,LA Galaxy,Sporting Kansas City,1-3,1,3,West,West,4,regular,,,,,,a
1997,232,1997-06-01,New England Revolution,FC Dallas,3-1,3,1,East,West,4,regular,,,,,,h
1997,233,1997-06-01,San Jose Earthquakes,DC United,2-3,2,3,West,East,5,regular,,,,,,a
1997,234,1997-06-01,Colorado Rapids,Tampa Bay Mutiny,2-0,2,0,West,East,2,regular,,,,,,h
1997,235,1997-06-06,FC Dallas,Sporting Kansas City,1-2,1,2,West,West,3,regular,,,,,,a
1997,236,1997-06-07,DC United,Colorado Rapids,5-0,5,0,East,West,5,regular,,,,,,h
1997,237,1997-06-07,Tampa Bay Mutiny,Columbus Crew,3-1,3,1,East,East,4,regular,,,,,,h
1997,238,1997-06-08,New England Revolution,LA Galaxy,1-0,1,0,East,West,1,regular,,,,,,h
1997,239,1997-06-08,San Jose Earthquakes,Sporting Kansas City,2-3,2,3,West,West,5,regular,,,,,,a
1997,240,1997-06-13,New York Red Bulls,Colorado Rapids,1-3,1,3,East,West,4,regular,,,,,,a
1997,241,1997-06-14,New England Revolution,DC United,0-1,0,1,East,East,1,regular,,,,,,a
1997,242,1997-06-15,Columbus Crew,Colorado Rapids,0-2,0,2,East,West,2,regular,,,,,,a
1997,243,1997-06-15,Sporting Kansas City,San Jose Earthquakes,1-3,1,3,West,West,4,regular,,,,,,a
1997,244,1997-06-15,FC Dallas,New York Red Bulls,3-1,3,1,West,East,4,regular,,,,,,h
1997,245,1997-06-15,LA Galaxy,Tampa Bay Mutiny,4-1,4,1,West,East,5,regular,,,,,,h
1997,246,1997-06-21,Tampa Bay Mutiny,San Jose Earthquakes,3-1,3,1,East,West,4,regular,,,,,,h
1997,247,1997-06-21,Columbus Crew,New York Red Bulls,2-1,2,1,East,East,3,regular,,,,,,h
1997,248,1997-06-21,Sporting Kansas City,DC United,6-1,6,1,West,East,7,regular,,,,,,h
1997,249,1997-06-21,Colorado Rapids,LA Galaxy,2-1,2,1,West,West,3,regular,,,,,,h
1997,250,1997-06-22,New England Revolution,FC Dallas,3-2,3,2,East,West,5,regular,,,,,,h
1997,251,1997-06-25,Sporting Kansas City,Tampa Bay Mutiny,3-2,3,2,West,East,5,regular,,,,,,h
1997,252,1997-06-28,Tampa Bay Mutiny,LA Galaxy,3-2,3,2,East,West,5,regular,,,,,,h
1997,253,1997-06-28,Colorado Rapids,Sporting Kansas City,3-4,3,4,West,West,7,regular,,,,,,a
1997,254,1997-06-28,San Jose Earthquakes,FC Dallas,3-1,3,1,West,West,4,regular,,,,,,h
1997,255,1997-07-04,Tampa Bay Mutiny,New York Red Bulls,1-0,1,0,East,East,1,regular,,,,,,h
1997,256,1997-07-04,Columbus Crew,Sporting Kansas City,1-2,1,2,East,West,3,regular,,,,,,a
1997,257,1997-07-04,FC Dallas,DC United,2-3,2,3,West,East,5,regular,,,,,,a
